t;x;y;
0.000;2.199E-3;0.307
0.033;2.791E-3;0.306
0.067;1.440E-2;0.306
0.100;2.095E-2;0.302
0.133;2.670E-2;0.301
0.167;4.034E-2;0.302
0.200;5.045E-2;0.296
0.233;6.531E-2;0.294
0.267;8.014E-2;0.292
0.300;9.642E-2;0.286
0.333;0.115;0.278
0.367;0.138;0.274
0.400;0.160;0.268
0.433;0.184;0.259
0.467;0.211;0.247
0.500;0.242;0.237
0.533;0.274;0.225
0.567;0.309;0.211
0.600;0.346;0.197
0.633;0.387;0.183
0.667;0.429;0.172
0.700;0.475;0.164
0.733;0.522;0.160
0.767;0.565;0.159
0.800;0.611;0.167
0.833;0.653;0.175
0.867;0.694;0.181
0.900;0.732;0.192
0.933;0.771;0.199
0.967;0.805;0.202
1.000;0.841;0.203
1.033;0.876;0.200
1.067;0.912;0.197
1.100;0.950;0.189
1.133;0.989;0.186
1.167;1.026;0.168
1.200;1.066;0.155
1.233;1.110;0.145
1.267;1.150;0.138
1.300;1.201;0.134
1.333;1.245;0.140
1.367;1.288;0.149
1.400;1.328;0.160
